posisi_id;kode_posisi;nama_posisi;parent;Direktorat_id;Division_id;Departemen_id;people_id;Jobtitle_code;Parent_path
17955;8016422;STAFF PROCEDURE CONTROL 2;17944;50131;30129;10169;;GT_STFF;
17957;8016647;SUB DEPT. HEAD K3L & MANAGEMENT SUPPORT MIXING;11892;50124;30127;10157;;GT_JMGR;
17959;8016649;SECTION HEAD K3L;17957;50124;30127;10157;;GT_SPV;
17961;8016651;STAFF SYSTEM K3L;17959;50124;30127;10157;;GT_STFF;
17965;8016655;K3L INSPECTOR;17959;50124;30127;10157;;GT_STFF;
17967;8016657;K3L INSPECTOR;17959;50124;30127;10157;;GT_STFF;
17969;8016659;K3L INSPECTOR;17959;50124;30127;10157;;GT_STFF;
17977;8016667;STAFF ADMINISTRATION;17979;50124;30127;10157;;GT_STFF;
17979;8016669;SECTION HEAD IMPROVEMENT & TRAINING;17957;50124;30127;10157;;GT_SPV;
17981;8016671;STAFF SYSTEM & DOCUMENT CONTROL;17979;50124;30127;10157;;GT_STFF;
17983;8016673;STAFF IMPROVEMENT & MONITORING PROJECT;17979;50124;30127;10157;;GT_STFF;
17987;8016677;STAFF TRAINING;17979;50124;30127;10157;;GT_STFF;
18116;8017044;DEPT. HEAD PPC;9845;50124;30128;10161;;GT_MGR;
18117;8017045;SUB DEPT. HEAD PRODUCTION PLANNING;18116;50124;30128;10161;;GT_JMGR;
18118;8017046;PRODUCTION SCHEDULING OFFICER;18117;50124;30128;10161;;GT_SPV;
18122;8017050;SUB DEPT. HEAD PRODUCTION CONTROL;18116;50124;30128;10161;;GT_JMGR;
18123;8017051;DELIVERY CONTROL OFFICER;18122;50124;30128;10161;;GT_SPV;
